id,class,subject,Topic,ebook,videos
662,IX,Science,Matters in Our Surroundings,,Sublimation - Class 9 Science.mp4
663,IX,Science,Tissues,,Structure of Cell Nucleus.mp4
664,X,Maths,Real Numbers,Chap-1Real Numbers .pdf,
665,X,Maths,Polynomials,Chap-2 Polynomials.pdf,
666,X,Maths,Pair of Linear Equations in Two Vriables,Chap-3 Linear Equations in 2 variables.pdf,
667,X,Maths,Quadratic Equations,Chap4 Quadratic Equations .pdf,
668,X,Maths,Arithmetic Progressions,Chap-5 Arithmetic Progressions.pdf,
669,X,Maths,Triangles,Chap-6 Triangles .pdf,
670,X,Maths,Coordinate Geometry,Chap7 Coordinate Geometry .pdf,
671,X,Maths,Introduction to Trignometry,Chap8 Trigonometry.pdf,
672,X,Maths,Some Applications of Trignometry,Chap9 Heights & Distances .pdf,
673,X,Maths,Circles,Chap10 Circles.pdf,
674,X,Maths,Constructions,Chap11 Constructions.pdf,
675,X,Maths,Surface Areas and Volumes,Chap-13 Surface Areas & Volumes.pdf,
676,X,Maths,Areas related to circles,Chap-12 Areas related to Circles.pdf,
677,X,Maths,Statistics,Chap-14 Statistics .pdf,
678,X,Maths,Probability,Chap15 Probability.pdf,
679,X,Science,Chemical Reactions and Equations,Class X Chemical Reactions and Equations.pdf,
680,X,Science,Metals and Non Metals,Class X Metal and Non Metals.pdf,
681,General Knowledge,India Our Country,Basic GK,Our Country India - Basics Quiz.pdf,
682,IX,Science,Force and Laws Of Motion,,motion1.swf
683,IX,Science,Force and Laws Of Motion,,motion2.swf
